case,age,breed,sex,attd,dehy,eye,jnts,post,pulse,resp,temp,umb,sepsis
1670,5,1,1,2,12,,0,2,,,37.6,0,0
8124,3,2,0,1,13.5,0,0,0,130,120,39.2,0,0
6954,2,3,1,2,,1,0,2,,,,1,1
2737,3,4,1,1,5,0,0,0,132,40,38.6,0,0
5341,3,5,0,1,0,0,0,1,128,48,38.6,1,1
6749,10,6,0,1,5.5,0,0,0,160,48,39.6,0,0
3234,4,7,0,2,7,0,1,2,180,84,39,1,1
2325,14,8,0,1,7,0,0,0,100,20,35,0,0
2925,4,9,0,1,5,0,0,0,150,52,39.5,0,0
7108,8,1,0,2,10,0,0,2,120,68,37.8,0,0
3600,19,1,1,1,8,,0,0,140,32,39.3,0,0
1599,7,1,1,1,4,0,0,0,126,20,39,0,0
1294,6,1,0,0,3,0,0,0,100,20,40,0,0
8476,2,1,0,1,12,0,0,1,80,16,34.1,0,1
7005,18,1,0,1,5,0,0,0,190,40,37.5,0,0
4957,7,1,0,2,10,0,0,2,100,40,35,0,0
1619,7,1,1,1,7.5,0,0,0,110,32,37,1,0
1586,8,1,1,2,10,0,0,2,88,36,36,0,0
5206,12,1,1,0,9,0,0,0,88,24,37.8,0,1
7173,7,1,1,1,10,0,0,1,120,42,39.5,0,1
9178,2,1,0,1,7.5,0,0,0,120,,36,0,0
3021,6,1,1,1,8,1,1,1,108,24,39.3,0,1
5119,7,1,0,1,4,0,0,0,180,36,39.7,0,0
4938,18,1,1,1,9,0,0,1,100,40,36.5,0,0
9005,7,1,1,2,,1,0,2,124,60,,0,1
1587,7,1,1,1,3,0,1,0,88,40,40,1,1
3167,12,1,1,1,7,0,0,1,124,32,38.4,0,0
3140,10,1,1,1,12,0,0,1,130,30,35.2,1,0
5237,9,1,0,1,10,0,0,1,100,44,39.3,0,0
1362,2,1,0,1,8,0,,2,110,50,37.5,0,1
8868,7,1,1,2,12,0,0,2,130,21,37.8,0,0
1591,1,1,1,1,10,0,0,2,129,27,36.5,1,0
1461,8,1,0,1,10,,0,0,90,36,37.5,,0
7160,3,1,0,1,5,0,0,2,60,80,35.9,0,0
1915,14,1,0,1,7,0,0,1,90,28,39.5,0,1
4867,2,1,1,2,12,0,0,2,133,20,35,0,0
9907,8,1,1,1,10,0,0,2,100,40,37.1,0,0
9269,2,2,0,1,15,0,0,1,132,66,39,0,0
2634,8,2,1,1,8,0,1,1,130,55,39.24,1,0
3056,11,2,1,0,0,0,0,0,90,42,39.2,0,0
1321,14,2,0,1,9,0,0,1,120,28,36.5,0,0
1772,11,2,1,1,4,0,0,0,122,40,39.4,1,0
7616,14,2,0,2,0,0,0,2,100,56,36,0,0
5528,14,2,0,1,3,0,0,1,80,40,39.3,0,0
8761,8,2,1,0,0,0,0,0,108,24,38.3,0,0
8772,12,2,0,1,5,0,0,0,128,16,35.8,0,1
3382,8,2,0,1,5,0,0,1,132,28,38,1,1
3166,5,2,0,1,12,0,0,2,64,48,39.1,1,0
9250,28,2,0,1,15,0,2,1,100,44,38.3,1,1
3191,5,2,0,1,9,0,0,0,72,30,38,0,0
10222,8,2,0,1,5,0,0,1,100,60,38.8,0,0
2600,7,2,1,1,5,0,0,0,90,,40.75,0,0
8589,14,2,0,1,10,0,0,1,136,24,40.3,0,0
1504,14,2,1,0,0,,0,0,90,40,40,,0
2652,14,2,0,2,6,0,0,2,60,24,34,0,0
10158,5,2,0,1,15,0,0,1,100,42,39.1,1,1
10179,3,2,0,1,6.5,0,0,2,85,90,39.6,0,1
3085,14,2,0,1,10,0,0,1,120,36,39,0,0
1701,12,2,1,1,5,0,0,0,80,20,37.5,0,0
7680,26,2,0,1,9,0,0,1,148,20,37.7,0,0
1327,10,2,0,1,4.5,0,0,0,120,20,39,0,0
1553,7,2,0,0,0,0,0,0,160,48,39.7,1,0
4294,3,2,1,2,10,,1,2,120,60,38.7,0,0
8517,3,2,0,1,8,0,0,1,92,24,37.8,0,0
10354,5,2,0,0,7,0,0,0,150,28,39.7,0,0
5066,5,2,0,1,13.5,0,0,1,120,48,36,0,0
6643,12,2,1,1,4,0,0,0,70,28,40.9,1,0
5211,2,2,0,2,10,0,0,2,130,60,35.4,0,1
7016,8,2,1,1,5.5,0,0,0,160,,39.5,1,1
8782,2,2,0,1,15,0,0,,90,30,38.9,0,0
8938,11,2,0,1,8,0,2,0,112,24,39.3,0,0
4512,11,2,0,1,7.5,0,0,1,132,32,39.2,1,0
2949,22,2,1,2,6,0,0,2,150,72,42,0,1
3261,2,2,1,1,0,0,0,0,160,44,38.7,0,0
2286,13,2,0,1,5,0,0,1,64,64,38.7,0,0
5122,13,2,0,1,8,0,0,2,108,16,38.6,0,1
5890,6,2,0,,,0,0,,48,24,39.6,0,0
6711,24,2,0,0,0,0,0,0,132,,39.1,0,0
1531,21,2,1,1,7,0,0,2,88,18,38,0,0
1640,2,2,1,1,11,0,0,0,90,60,37.8,0,1
1534,6,2,0,2,12,0,0,2,140,74,38.9,0,0
9761,11,2,0,1,8,0,0,2,120,80,37.8,0,1
4266,10,2,0,1,10,0,0,1,88,100,38.6,0,0
7015,10,2,0,1,0,0,0,1,92,36,38.4,0,0
8105,25,2,1,1,10,1,0,1,96,30,37.9,0,0
4871,2,2,1,1,9,0,0,1,160,70,38,1,0
1314,12,2,0,1,4,0,0,0,40,,36.1,0,0
8304,21,2,1,0,0,0,0,0,60,22,39.1,0,0
3105,6,2,0,1,3,0,0,0,156,64,38.8,0,0
9864,21,2,1,1,8,0,0,1,138,54,37.9,0,1
1839,11,2,1,2,5,1,1,2,130,60,38.5,1,1
4557,18,2,1,0,4,0,0,0,100,36,42,0,0
1494,8,3,1,1,0,0,0,1,130,24,35.4,1,1
2002,6,3,0,1,5,0,0,1,100,32,38.6,0,0
1576,1,3,1,1,4,0,0,0,84,56,38.6,0,0
5319,7,3,1,1,10,0,0,1,80,,38.2,0,0
1725,1,3,1,1,9,0,0,1,120,48,38,0,1
4960,5,3,1,2,0,0,0,2,80,52,38.5,1,1
5113,8,3,1,1,8,0,0,1,112,28,37.9,0,0
5062,2,3,0,2,10,0,0,2,120,39,39,0,1
7796,7,3,0,2,10,0,0,2,120,40,39.5,0,0
1469,5,3,0,1,10,0,0,1,188,60,36,0,1
6940,8,3,1,1,10,0,0,0,84,20,36.2,0,0
7169,8,3,1,1,6,0,0,2,120,30,39.4,0,0
1740,1,3,1,2,10,0,0,1,140,76,39,1,1
7310,18,3,0,2,11,0,1,1,102,24,34,1,1
5054,7,3,0,1,5,0,0,0,100,40,38,0,1
7161,2,3,0,0,10,0,1,0,120,20,38.9,0,0
6817,15,3,0,,10,1,,,,,,,0
1518,2,3,1,1,8,0,0,1,120,80,39.5,1,0
3557,10,3,0,1,8,0,0,0,126,24,39.5,1,0
8513,14,4,0,0,0,0,0,0,100,24,40.1,0,0
6369,7,4,0,1,9,0,0,1,150,52,40.2,0,1
9126,15,4,0,,,,0,2,100,32,36.5,0,1
9041,8,4,0,1,10,0,0,2,144,54,33.4,0,0
3230,3,4,1,1,12,0,0,2,140,60,39.7,0,0
3042,5,4,1,1,8,0,0,1,124,28,39.7,0,0
1484,14,4,1,2,4,0,0,2,120,24,37.7,0,0
2940,7,4,0,1,7.5,0,0,0,108,28,39.5,0,0
2598,2,4,0,2,9,0,0,2,64,40,37,0,1
8833,23,4,,1,10,0,0,2,120,120,38.8,0,1
8859,7,5,1,1,15,0,0,2,120,32,34.3,0,0
7260,7,5,1,2,10,0,0,2,142,26,36.2,0,1
8920,7,6,1,1,11,0,0,2,112,16,37.4,0,0
4734,10,6,1,1,5,0,0,0,136,40,38.8,1,0
4974,5,6,1,1,5,1,2,1,140,40,39.4,0,1
8798,15,6,0,1,8,0,0,0,126,24,38.3,0,0
7051,5,6,0,1,7,0,0,1,108,28,36.8,0,0
7002,7,6,0,1,8,0,1,1,100,18,37.1,0,0
7212,10,6,1,1,10,0,0,0,150,56,40.2,1,0
1477,3,6,0,1,3,1,0,2,132,46,38.4,1,1
8885,23,6,1,1,4,0,0,0,88,24,39.2,1,0
2744,20,6,1,1,9,0,0,1,72,20,36.1,0,1
2437,5,6,1,1,11,0,1,1,132,48,39.9,1,1
7081,6,6,0,1,10,0,0,0,120,20,38.9,0,0
8695,7,6,1,1,7.5,0,0,1,64,40,37.8,0,0
9248,4,6,1,1,15,0,1,1,156,24,36.2,1,1
8738,16,6,0,1,8,0,0,0,120,30,39.5,0,0
9020,9,6,1,1,10,0,0,0,120,24,38,0,0
4879,4,6,1,1,5,0,0,0,100,20,38.7,0,0
8797,16,6,,1,12,0,0,1,120,24,36,0,0
9019,11,6,1,1,6,0,0,1,114,30,39,0,1
2756,3,6,0,1,5,0,1,1,160,60,39.3,0,1
7052,9,6,0,1,9,0,0,0,84,20,38.6,1,1
8933,11,6,1,1,6,0,0,2,120,45,36.6,0,0
7283,4,6,1,2,13.5,0,0,2,120,36,34,0,1
7102,7,6,1,1,9,0,0,0,124,20,37,0,0
2859,5,7,0,1,5,0,0,0,144,54,36.4,0,1
7063,7,7,1,1,10,0,0,1,120,28,35.8,0,0
7094,6,7,0,0,6,0,0,0,128,24,39.5,1,0
2085,14,7,0,0,6,0,0,0,78,68,39.2,0,0
8722,1,7,1,1,10,0,0,1,100,48,36.2,0,1
5281,15,7,1,0,5,0,0,1,132,20,38.5,1,0
1696,7,7,1,1,4,0,0,0,130,24,39.7,1,0
6905,6,7,1,0,0,0,0,0,140,24,38.1,0,0
5280,14,7,0,2,10,0,0,2,78,12,36.6,0,0
7064,7,7,1,1,8,0,0,0,160,24,39.7,0,0
5127,4,7,0,2,11,0,0,2,84,16,35.7,0,1
6781,10,7,0,1,10,0,0,1,92,36,36.6,0,1
1742,6,7,1,2,,1,1,1,130,40,39.2,0,1
1589,1,7,1,2,3,0,1,2,140,52,39.7,1,1
7266,2,7,1,1,10,,2,1,140,,36,0,1
7072,9,7,1,1,9,0,0,0,160,24,40,0,0
2086,14,7,1,1,6,0,0,0,64,40,39.7,0,0
8730,7,7,0,1,10,0,0,0,160,30,39.6,0,0
1690,,7,1,1,7,1,,1,120,25,38.2,0,0
1466,7,8,0,1,5.5,,,0,122,24,36,,0
1803,9,8,1,2,7,,0,2,30,16,39.5,0,0
3237,14,8,1,1,8,0,1,0,120,24,38.4,0,0
5167,5,8,1,2,10,0,0,2,108,28,36.2,0,0
1621,16,8,1,1,4,0,0,0,120,37,35.5,1,0
1733,7,8,1,1,5,0,0,0,110,30,39.4,1,0
8862,28,8,1,0,0,0,0,0,125,60,40.2,0,0
3226,26,8,1,1,10,0,1,1,124,28,32,0,0
7054,5,8,1,1,0,0,0,0,180,32,38.8,0,1
1338,17,8,1,1,5,0,0,1,80,16,35,0,0
3236,14,8,0,1,8,0,0,0,140,16,39.3,0,0
6927,9,8,0,2,,0,0,2,,,,0,0
1649,7,8,1,2,,0,0,2,150,,36,0,0
1345,17,8,1,2,7,0,0,1,60,22,34.5,1,1
7251,3,8,1,0,8,0,0,0,160,32,38.1,0,0
1645,2,8,1,2,10,0,0,1,128,64,40,0,0
4868,2,8,1,1,2,0,0,0,96,40,39.5,0,0
5166,7,8,0,1,12,0,0,1,96,20,36.6,0,0
7075,11,8,1,1,9,0,0,2,160,36,34.5,0,0
1532,10,8,1,0,,0,0,0,144,30,39.6,1,0
8448,7,8,1,1,5,0,0,1,100,48,38.8,0,0
3248,23,8,0,1,8,0,0,1,88,28,35,0,0
3145,2,8,1,1,10,0,0,1,120,77,39.2,0,1
1580,9,8,1,1,0,0,1,2,180,60,40,1,0
8763,9,8,0,1,10,0,0,2,100,28,38.2,0,0
4709,2,8,1,1,4,0,2,1,120,44,38.7,1,0
1618,21,8,0,2,9,0,0,2,110,20,35.5,0,0
8597,15,8,0,0,4,0,0,0,160,40,40.2,0,0
1613,23,8,1,0,0,0,0,0,180,28,38.8,0,0
9869,11,8,1,1,5,0,0,0,100,40,38.5,0,0
3225,8,8,1,1,10,0,0,2,120,32,39,0,0
3280,18,8,1,0,6,0,0,0,90,12,39.5,0,0
7291,2,8,1,2,6,0,0,2,90,20,39.2,0,1
1612,23,8,1,1,0,0,1,0,120,32,40.2,0,0
1652,8,8,0,1,6,0,0,1,100,36,36.2,0,0
8915,8,8,1,1,0,0,0,0,150,80,40.4,1,0
4878,12,8,0,1,9,0,0,1,180,84,38.6,0,1
2928,7,8,0,1,7,0,1,1,136,22,37.5,0,0
6839,10,8,0,1,0,0,1,0,136,36,40.2,0,0
3201,20,8,0,1,7,0,0,1,106,28,35.3,0,1
3084,14,8,1,1,10,0,0,0,120,16,39,0,0
1489,6,8,1,1,0,0,0,1,124,108,40.5,0,0
7837,14,8,0,1,10,0,0,1,80,48,36.7,0,0
6898,7,8,0,2,13.5,0,0,2,66,70,34.5,0,1
5244,14,8,0,2,8,0,0,2,104,32,37,0,0
8612,12,8,0,1,9,0,0,0,120,16,39.3,0,0
2609,20,8,0,1,9,0,0,2,104,28,39.6,1,1
2881,7,8,1,2,10,0,0,2,140,30,39.5,1,1
5320,13,8,0,1,5.5,0,0,1,112,,39.8,0,0
3239,2,8,1,2,,,,2,,,,,0
1366,13,8,1,,4.5,,,,112,55,39,,0
6942,9,8,1,1,,0,0,1,100,60,36.3,0,0
1834,12,8,1,2,6,0,0,2,120,60,40.7,0,0
9216,11,8,1,1,7.5,0,0,0,104,48,37.4,0,0
3200,20,8,0,1,7,0,0,1,48,28,36,0,1
1490,2,8,1,0,0,0,0,0,120,54,39.2,0,0
3126,5,8,1,1,5,0,0,1,140,20,37.6,0,0
2929,10,8,0,1,7,0,0,0,114,28,39,1,0
1538,9,8,0,1,8,0,0,2,150,30,35,1,0
2909,5,8,0,,,,,,,,,,0
3491,13,8,0,1,8,0,,2,140,60,35.6,,1
1602,25,8,1,2,,,,2,,,,,0
6841,9,8,1,,10,,,,,,36,,0
6717,7,8,1,1,5,0,0,1,80,20,35,0,1
9061,17,8,0,2,10,0,0,2,120,20,38.8,1,0
1603,25,8,1,0,0,0,0,0,92,16,38.5,0,0
8796,7,8,0,1,5,0,0,0,126,18,39.1,0,0
1320,6,8,0,0,3,,0,0,138,20,39.3,0,0
6671,19,8,1,1,5.5,0,0,1,72,16,35.3,1,0
7187,12,8,1,1,6.5,0,0,1,120,30,37.8,0,0
3399,10,8,1,1,,,1,2,,,36.5,1,1
4948,13,8,1,1,10,0,0,1,130,30,37,0,0
8906,11,8,1,2,0,0,0,2,90,75,37,0,1
7280,3,8,1,1,10,0,0,1,140,50,39,0,0
1303,8,8,1,1,,0,0,1,64,24,38.5,1,1
5046,4,8,0,1,5,0,4,2,140,28,36.3,0,1
3317,15,8,0,1,0,0,0,0,50,36,36.3,0,0
3468,1,8,0,1,8,,0,1,120,40,36.5,1,1
1646,10,8,0,1,8,0,0,1,150,32,36,1,0
5312,3,8,0,1,7,0,0,1,120,60,39.4,0,0
3296,2,8,1,1,10,0,0,0,84,24,39.4,0,0
3082,1,8,1,1,13.5,0,0,2,120,32,37.5,0,1
9773,6,8,0,2,9,0,0,2,80,84,38.4,1,1
4870,1,9,0,1,0,0,0,0,112,48,39.3,1,1
9805,3,9,0,1,5,0,0,1,132,28,39,0,0
4869,2,9,0,0,5,0,0,0,140,30,39.3,0,0
2926,3,9,0,0,5,0,0,0,200,70,39.8,0,0
4186,25,9,0,0,0,,,0,160,,39.7,,0
